"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","A","2010",72.37024,
"AUS","EMP","TOT","PC_WKGPOP","A","2011",72.65694,
"AUS","EMP","TOT","PC_WKGPOP","A","2012",72.34558,
"AUS","EMP","TOT","PC_WKGPOP","A","2013",71.97044,
"AUS","EMP","TOT","PC_WKGPOP","A","2014",71.56635,
"AUS","EMP","TOT","PC_WKGPOP","A","2015",72.15796,
"AUS","EMP","TOT","PC_WKGPOP","A","2016",72.4315,
"AUS","EMP","TOT","PC_WKGPOP","A","2017",72.98936,
"AUS","EMP","TOT","PC_WKGPOP","A","2018",73.76899,
"AUT","EMP","TOT","PC_WKGPOP","A","2010",70.775,
"AUT","EMP","TOT","PC_WKGPOP","A","2011",71.1,
"AUT","EMP","TOT","PC_WKGPOP","A","2012",71.425,
"AUT","EMP","TOT","PC_WKGPOP","A","2013",71.4,
"AUT","EMP","TOT","PC_WKGPOP","A","2014",71.075,
"AUT","EMP","TOT","PC_WKGPOP","A","2015",71.1,
"AUT","EMP","TOT","PC_WKGPOP","A","2016",71.55,
"AUT","EMP","TOT","PC_WKGPOP","A","2017",72.2,
"AUT","EMP","TOT","PC_WKGPOP","A","2018",73.025,
"BEL","EMP","TOT","PC_WKGPOP","A","2010",62.025,"B"
"BEL","EMP","TOT","PC_WKGPOP","A","2011",61.925,
"BEL","EMP","TOT","PC_WKGPOP","A","2012",61.825,
"BEL","EMP","TOT","PC_WKGPOP","A","2013",61.8,
"BEL","EMP","TOT","PC_WKGPOP","A","2014",61.9,
"BEL","EMP","TOT","PC_WKGPOP","A","2015",61.8,
"BEL","EMP","TOT","PC_WKGPOP","A","2016",62.3,"B"
"BEL","EMP","TOT","PC_WKGPOP","A","2017",63.125,
"BEL","EMP","TOT","PC_WKGPOP","A","2018",64.45,
"CAN","EMP","TOT","PC_WKGPOP","A","2010",71.475,
"CAN","EMP","TOT","PC_WKGPOP","A","2011",71.84167,
"CAN","EMP","TOT","PC_WKGPOP","A","2012",72.05,
"CAN","EMP","TOT","PC_WKGPOP","A","2013",72.44167,
"CAN","EMP","TOT","PC_WKGPOP","A","2014",72.30833,
"CAN","EMP","TOT","PC_WKGPOP","A","2015",72.50833,
"CAN","EMP","TOT","PC_WKGPOP","A","2016",72.56667,
"CAN","EMP","TOT","PC_WKGPOP","A","2017",73.44167,
"CAN","EMP","TOT","PC_WKGPOP","A","2018",73.80833,
"CZE","EMP","TOT","PC_WKGPOP","A","2010",64.975,"B"
"CZE","EMP","TOT","PC_WKGPOP","A","2011",65.725,
"CZE","EMP","TOT","PC_WKGPOP","A","2012",66.55,
"CZE","EMP","TOT","PC_WKGPOP","A","2013",67.725,
"CZE","EMP","TOT","PC_WKGPOP","A","2014",68.975,
"CZE","EMP","TOT","PC_WKGPOP","A","2015",70.225,
"CZE","EMP","TOT","PC_WKGPOP","A","2016",71.95,
"CZE","EMP","TOT","PC_WKGPOP","A","2017",73.625,
"CZE","EMP","TOT","PC_WKGPOP","A","2018",74.825,
"DNK","EMP","TOT","PC_WKGPOP","A","2010",73.35,
"DNK","EMP","TOT","PC_WKGPOP","A","2011",73.15,
"DNK","EMP","TOT","PC_WKGPOP","A","2012",72.575,
"DNK","EMP","TOT","PC_WKGPOP","A","2013",72.55,
"DNK","EMP","TOT","PC_WKGPOP","A","2014",72.8,
"DNK","EMP","TOT","PC_WKGPOP","A","2015",73.5,"B"
"DNK","EMP","TOT","PC_WKGPOP","A","2016",74.85,"B"
"DNK","EMP","TOT","PC_WKGPOP","A","2017",74.2,
"DNK","EMP","TOT","PC_WKGPOP","A","2018",75.375,"B"
"FIN","EMP","TOT","PC_WKGPOP","A","2010",68.15,
"FIN","EMP","TOT","PC_WKGPOP","A","2011",69.025,
"FIN","EMP","TOT","PC_WKGPOP","A","2012",69.375,
"FIN","EMP","TOT","PC_WKGPOP","A","2013",68.875,
"FIN","EMP","TOT","PC_WKGPOP","A","2014",68.725,
"FIN","EMP","TOT","PC_WKGPOP","A","2015",68.55,
"FIN","EMP","TOT","PC_WKGPOP","A","2016",69.075,
"FIN","EMP","TOT","PC_WKGPOP","A","2017",69.975,
"FIN","EMP","TOT","PC_WKGPOP","A","2018",72.075,
"FRA","EMP","TOT","PC_WKGPOP","A","2010",64,
"FRA","EMP","TOT","PC_WKGPOP","A","2011",63.9,
"FRA","EMP","TOT","PC_WKGPOP","A","2012",64.025,
"FRA","EMP","TOT","PC_WKGPOP","A","2013",64.05,"B"
"FRA","EMP","TOT","PC_WKGPOP","A","2014",63.65,
"FRA","EMP","TOT","PC_WKGPOP","A","2015",63.825,
"FRA","EMP","TOT","PC_WKGPOP","A","2016",64.2,
"FRA","EMP","TOT","PC_WKGPOP","A","2017",64.725,
"FRA","EMP","TOT","PC_WKGPOP","A","2018",65.35,
"DEU","EMP","TOT","PC_WKGPOP","A","2010",71.25,"B"
"DEU","EMP","TOT","PC_WKGPOP","A","2011",72.7,
"DEU","EMP","TOT","PC_WKGPOP","A","2012",73,
"DEU","EMP","TOT","PC_WKGPOP","A","2013",73.5,
"DEU","EMP","TOT","PC_WKGPOP","A","2014",73.775,
"DEU","EMP","TOT","PC_WKGPOP","A","2015",73.975,
"DEU","EMP","TOT","PC_WKGPOP","A","2016",74.65,
"DEU","EMP","TOT","PC_WKGPOP","A","2017",75.25,
